incident_id,date,clinic_id,country,category,description,status,patient_id,satisfaction_score
HC-000010,2026-01-11,US-TX-01,US,BILLING,Unexpected charge appeared on the monthly statement,CLOSED,PAT-000010,2
HC-000071,2026-01-16,US-GA-03,US,BILLING,Unexpected charge appeared on the monthly statement,DISCARDED,PAT-000071,
HC-000020,2026-01-21,US-TX-02,US,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000020,4
HC-000088,2026-01-05,UK-LON-02,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000088,
HC-000097,2026-01-14,UK-LON-01,UK,UNKNOWN,Category value is not in the authorized list,OPEN,PAT-000097,
HC-000022,2026-01-23,UK-LON-02,UK,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,CLOSED,PAT-000022,5
HC-000087,2026-01-04,US-TX-02,US,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,OPEN,PAT-000087,
HC-000068,2026-01-13,US-TX-02,US,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000068,
HC-000024,2026-01-25,UK-LON-01,UK,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,CLOSED,PAT-000024,3
HC-000046,2026-01-19,UK-MAN-01,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000046,3
HC-000092,2026-01-09,US-FL-01,US,BILLING,Unexpected charge appeared on the monthly statement,OPEN,PAT-000092,
HC-000065,2026-01-10,US-GA-01,US,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,CLOSED,PAT-000065,3
HC-000001,2026-01-02,US-FL-03,US,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000001,4
HC-000069,2026-01-14,US-TX-02,US,ACCESSIBILITY,Language support was unavailable during check-in,DISCARDED,PAT-000069,
HC-000060,2026-01-05,US-FL-02,US,BILLING,Unexpected charge appeared on the monthly statement,OPEN,PAT-000060,
HC-000094,2026-01-11,US-TX-03,US,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,DISCARDED,PAT-000094,
HC-000013,2026-01-14,US-TX-02,US,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000013,4
HC-000037,2026-01-10,UK-MAN-01,UK,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,DISCARDED,PAT-000037,
HC-000077,2026-01-22,UK-LON-01,UK,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000077,4
HC-000008,2026-01-09,US-FL-03,US,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000008,4
HC-000033,2026-01-06,US-TX-03,US,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000033,4
HC-000058,2026-01-03,US-FL-03,US,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000058,
HC-000057,2026-01-02,US-TX-01,US,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000057,
HC-000091,2026-01-08,US-TX-03,US,CLINICAL_CARE,Concern about follow-up instructions after visit,CLOSED,PAT-000091,3
HC-000051,2026-01-24,UK-LON-01,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000051,
HC-000047,2026-01-20,US-FL-02,US,CLINICAL_CARE,Concern about follow-up instructions after visit,OPEN,PAT-000047,
HC-000064,2026-01-09,UK-MAN-01,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000064,3
HC-000028,2026-01-01,US-GA-03,US,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,OPEN,PAT-000028,
HC-000039,2026-01-12,UK-LON-01,UK,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000039,4
HC-000007,2026-01-08,US-GA-02,US,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000007,
HC-000003,2026-01-04,UK-LON-02,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000003,5
HC-000017,2026-01-18,US-FL-02,US,BILLING,Unexpected charge appeared on the monthly statement,CLOSED,PAT-000017,3
HC-000062,2026-01-07,US-GA-02,US,APPOINTMENT,Waited over an hour past scheduled appointment time,DISCARDED,PAT-000062,
HC-000038,2026-01-11,UK-MAN-01,UK,ACCESSIBILITY,Language support was unavailable during check-in,OPEN,PAT-000038,
HC-000098,2026-01-15,US-FL-01,US,ACCESSIBILITY,no,OPEN,PAT-000098,
HC-000034,2026-01-07,US-FL-02,US,BILLING,Unexpected charge appeared on the monthly statement,CLOSED,PAT-000034,2
HC-000015,2026-01-16,UK-LON-01,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000015,4
HC-000078,2026-01-23,UK-LON-01,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000078,4
HC-000075,2026-01-20,UK-LON-01,UK,CLINICAL_CARE,Concern about follow-up instructions after visit,CLOSED,PAT-000075,5
HC-000076,2026-01-21,UK-LON-02,UK,ACCESSIBILITY,Language support was unavailable during check-in,DISCARDED,PAT-000076,
HC-000066,2026-01-11,UK-MAN-01,UK,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,DISCARDED,PAT-000066,
HC-000082,2026-01-27,UK-LON-02,UK,CLINICAL_CARE,Concern about follow-up instructions after visit,OPEN,PAT-000082,
HC-000074,2026-01-19,US-GA-03,US,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000074,
HC-000009,2026-01-10,US-TX-02,US,BILLING,Unexpected charge appeared on the monthly statement,OPEN,PAT-000009,
HC-000036,2026-01-09,US-TX-02,US,CLINICAL_CARE,Concern about follow-up instructions after visit,CLOSED,PAT-000036,1
HC-000096,2026-01-13,US-TX-01,UK,BILLING,Country does not match clinic jurisdiction,OPEN,PAT-000096,
HC-000052,2026-01-25,US-TX-02,US,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000052,
HC-000025,2026-01-26,UK-LON-02,UK,CLINICAL_CARE,Concern about follow-up instructions after visit,CLOSED,PAT-000025,5
HC-000099,2026-01-16,US-GA-01,US,ADMINISTRATIVE,Patient identifier field left blank on purpose,OPEN,,
HC-000085,2026-01-02,US-FL-01,US,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,OPEN,PAT-000085,
HC-000030,2026-01-03,US-GA-03,US,BILLING,Unexpected charge appeared on the monthly statement,DISCARDED,PAT-000030,
HC-000040,2026-01-13,US-FL-02,US,ACCESSIBILITY,Language support was unavailable during check-in,OPEN,PAT-000040,
HC-000045,2026-01-18,US-FL-01,US,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000045,2
HC-000059,2026-01-04,US-TX-03,US,ACCESSIBILITY,Language support was unavailable during check-in,OPEN,PAT-000059,
HC-000026,2026-01-27,UK-MAN-01,UK,CLINICAL_CARE,Concern about follow-up instructions after visit,CLOSED,PAT-000026,3
HC-000029,2026-01-02,US-TX-01,US,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000029,5
HC-000061,2026-01-06,US-TX-03,US,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000061,3
HC-000005,2026-01-06,US-TX-03,US,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000005,3
HC-000049,2026-01-22,UK-LON-02,UK,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000049,5
HC-000014,2026-01-15,US-GA-03,US,BILLING,Unexpected charge appeared on the monthly statement,CLOSED,PAT-000014,4
HC-000090,2026-01-07,UK-LON-02,UK,CLINICAL_CARE,Concern about follow-up instructions after visit,CLOSED,PAT-000090,4
HC-000021,2026-01-22,US-FL-01,US,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000021,4
HC-000035,2026-01-08,UK-LON-01,UK,BILLING,Unexpected charge appeared on the monthly statement,DISCARDED,PAT-000035,
HC-000032,2026-01-05,US-TX-02,US,BILLING,Unexpected charge appeared on the monthly statement,CLOSED,PAT-000032,5
HC-000086,2026-01-03,UK-MAN-01,UK,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,CLOSED,PAT-000086,4
HC-000100,2026-01-17,UK-MAN-01,UK,CLINICAL_CARE,Closed without recording a satisfaction score,CLOSED,PAT-000099,
HC-000043,2026-01-16,UK-LON-01,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000043,
HC-000095,2026-01-12,US-XX-99,US,APPOINTMENT,Invalid clinic code used in this sample row,OPEN,PAT-000095,
HC-000023,2026-01-24,UK-LON-02,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000023,3
HC-000004,2026-01-05,UK-LON-02,UK,BILLING,Unexpected charge appeared on the monthly statement,CLOSED,PAT-000004,3
HC-000053,2026-01-26,UK-MAN-01,UK,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000053,4
